tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs,workers,threads
spark,groupby_single_col,10000000,10000000,1000,4,2.3521687609973016e9,0,0,0,8,4
spark,groupby_single_col,10000000,10000000,10000,4,2.2378035599995203e9,0,0,0,4,4
spark,groupby_single_col,10000000,10000000,10000,4,2.508974797005067e9,0,0,0,8,4
spark,groupby_single_col,10000000,25000000,1000,4,4.783504457999925e9,0,0,0,4,4
spark,groupby_single_col,10000000,25000000,1000,4,4.759254038999643e9,0,0,0,4,4
spark,groupby_single_col,10000000,25000000,10000,4,4.95774523e9,0,0,0,4,4
spark,groupby_single_col,100000000,10000000,1000,4,1.3118283923000036e10,0,0,0,4,4
spark,groupby_single_col,100000000,10000000,1000,4,9.353034052999647e9,0,0,0,8,4
spark,groupby_single_col,100000000,10000000,1000,4,9.209756789001404e9,0,0,0,8,4
spark,groupby_single_col,100000000,10000000,10000,4,1.4626149383000666e10,0,0,0,4,4
spark,groupby_single_col,100000000,10000000,10000,4,1.081282178600668e10,0,0,0,8,4
spark,groupby_single_col,100000000,25000000,1000,4,1.5533114400000158e10,0,0,0,4,4
spark,groupby_single_col,100000000,25000000,1000,4,1.4535423216999334e10,0,0,0,4,4
spark,groupby_single_col,100000000,25000000,10000,4,1.6182552820999262e10,0,0,0,4,4
spark,groupby_single_col,500000000,10000000,1000,4,5.96751362949999e10,0,0,0,4,4
spark,groupby_single_col,500000000,10000000,1000,4,6.08513012530002e10,0,0,0,4,4
spark,groupby_single_col,500000000,10000000,1000,4,3.465234729700024e10,0,0,0,8,4
spark,groupby_single_col,500000000,10000000,10000,4,6.693979280500025e10,0,0,0,4,4
spark,groupby_single_col,500000000,10000000,10000,4,4.3883129116002235e10,0,0,0,8,4
spark,groupby_single_col,500000000,25000000,1000,4,6.099089257699961e10,0,0,0,4,4
spark,groupby_single_col,500000000,25000000,10000,4,7.406024935799724e10,0,0,0,4,4
